timestamps,X,Y,Z,Marker0
1749791219.990,0.182,-0.001,0.963,0
1749791220.035,0.180,-0.002,0.965,0
1749791220.035,0.181,0.000,0.967,0
1749791220.035,0.184,-0.001,0.966,0
1749791220.096,0.185,-0.002,0.966,0
1749791220.096,0.187,-0.008,0.966,0
1749791220.096,0.184,-0.008,0.965,0
1749791220.156,0.185,-0.009,0.968,0
1749791220.156,0.188,-0.012,0.972,0
1749791220.156,0.188,-0.008,0.970,0
1749791220.201,0.187,-0.008,0.970,0
1749791220.201,0.188,-0.011,0.966,0
1749791220.201,0.184,-0.008,0.969,0
1749791220.263,0.185,-0.006,0.971,0
1749791220.263,0.184,-0.006,0.969,0
1749791220.263,0.184,-0.004,0.965,0
1749791220.321,0.182,-0.003,0.968,0
1749791220.321,0.188,-0.003,0.968,0
1749791220.321,0.187,-0.002,0.966,0
1749791220.380,0.183,-0.005,0.968,0
1749791220.380,0.188,-0.004,0.970,0
1749791220.380,0.188,-0.007,0.969,0
1749791220.426,0.183,-0.007,0.966,0
1749791220.426,0.184,-0.005,0.971,0
1749791220.426,0.183,-0.008,0.964,0
1749791220.485,0.184,-0.006,0.968,0
1749791220.485,0.177,-0.009,0.964,0
1749791220.485,0.175,-0.007,0.965,0
1749791220.548,0.180,-0.009,0.964,0
1749791220.548,0.177,-0.013,0.963,0
1749791220.548,0.179,-0.008,0.964,0
1749791220.594,0.181,-0.008,0.969,0
1749791220.594,0.184,-0.001,0.970,0
1749791220.594,0.185,-0.006,0.969,0
1749791220.650,0.190,-0.006,0.965,0
1749791220.650,0.191,-0.007,0.965,0
1749791220.650,0.190,-0.012,0.972,0
1749791220.710,0.194,-0.012,0.974,0
1749791220.710,0.194,-0.011,0.971,0
1749791220.710,0.196,-0.010,0.968,0
1749791220.771,0.196,-0.009,0.973,0
1749791220.771,0.195,-0.004,0.971,0
1749791220.771,0.195,-0.005,0.968,0
1749791220.847,0.194,-0.010,0.969,0
1749791220.847,0.193,-0.009,0.965,0
1749791220.847,0.199,-0.004,0.966,0
1749791220.878,0.195,-0.010,0.967,0
1749791220.878,0.198,-0.008,0.970,0
1749791220.878,0.198,-0.011,0.973,0
1749791220.937,0.199,-0.008,0.975,0
1749791220.937,0.195,-0.011,0.975,0
1749791220.937,0.194,-0.009,0.966,0
1749791220.997,0.193,-0.011,0.965,0
1749791220.997,0.192,-0.014,0.970,0
1749791220.997,0.191,-0.011,0.967,0
1749791221.058,0.186,-0.010,0.967,0
1749791221.058,0.185,-0.010,0.967,0
1749791221.058,0.187,-0.008,0.962,0
1749791221.103,0.187,-0.005,0.959,0
1749791221.103,0.185,-0.010,0.963,0
1749791221.103,0.187,-0.007,0.970,0
1749791221.161,0.189,-0.011,0.966,0
1749791221.161,0.189,-0.013,0.966,0
1749791221.161,0.188,-0.009,0.967,0
1749791221.220,0.185,-0.007,0.968,0
1749791221.220,0.187,-0.008,0.971,0
