timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1749790805.901,-56.152,-25.879,-35.645,-60.059,0.000,0
1749790805.905,-65.430,-21.484,-32.715,-60.547,0.000,0
1749790805.909,-63.965,-20.020,-32.227,-56.641,0.000,0
1749790805.913,-55.176,-23.926,-32.715,-54.199,0.000,0
1749790805.916,-59.082,-24.414,-30.762,-50.293,0.000,0
1749790805.920,-60.547,-18.066,-27.344,-52.734,0.000,0
1749790805.925,-57.617,-17.090,-23.438,-52.734,0.000,0
1749790805.929,-66.895,-16.602,-26.855,-55.176,0.000,0
1749790805.933,-64.453,-10.742,-24.902,-56.152,0.000,0
1749790805.936,-61.035,-15.137,-24.902,-56.641,0.000,0
1749790805.940,-56.641,-21.484,-31.738,-60.547,0.000,0
1749790805.944,-56.152,-21.973,-33.203,-63.477,0.000,0
1749790805.948,-66.406,-20.020,-32.227,-61.523,0.000,0
1749790805.952,-61.523,-18.555,-32.227,-57.617,0.000,0
1749790805.956,-55.664,-19.043,-31.250,-60.059,0.000,0
1749790805.960,-55.664,-16.602,-32.715,-57.617,0.000,0
1749790805.963,-46.875,-17.090,-36.133,-54.688,0.000,0
1749790805.967,-39.062,-12.695,-39.551,-56.152,0.000,0
1749790805.972,-48.340,-11.230,-31.738,-58.594,0.000,0
1749790805.976,-61.523,-17.578,-27.344,-57.617,0.000,0
1749790805.979,-58.594,-20.996,-29.785,-56.641,0.000,0
1749790805.983,-47.852,-22.461,-31.250,-52.734,0.000,0
1749790805.987,-48.340,-18.555,-30.762,-48.340,0.000,0
1749790805.991,-55.664,-18.555,-27.344,-52.734,0.000,0
1749790805.995,-50.293,-18.555,-30.273,-52.246,0.000,0
1749790805.999,-43.945,-19.043,-31.250,-46.387,0.000,0
1749790806.003,-41.992,-19.531,-26.367,-43.457,0.000,0
1749790806.007,-44.434,-19.043,-24.902,-43.945,0.000,0
1749790806.010,-46.387,-22.949,-25.391,-47.363,0.000,0
1749790806.014,-43.945,-23.926,-24.902,-41.016,0.000,0
1749790806.019,-40.527,-20.996,-26.367,-40.527,0.000,0
1749790806.023,-41.016,-22.461,-29.297,-47.363,0.000,0
1749790806.026,-43.457,-20.508,-29.297,-48.340,0.000,0
1749790806.030,-40.039,-20.020,-32.227,-42.969,0.000,0
1749790806.034,-43.945,-21.973,-31.738,-40.527,0.000,0
1749790806.038,-40.039,-15.137,-25.879,-41.016,0.000,0
1749790806.042,-40.527,-10.254,-23.926,-41.504,0.000,0
1749790806.046,-57.617,-16.602,-26.855,-43.457,0.000,0
1749790806.050,-46.387,-16.602,-28.809,-39.551,0.000,0
1749790806.053,-44.434,-10.254,-28.809,-42.480,0.000,0
