timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1749426394.656,37.598,3.418,7.324,36.133,0.000,0
1749426394.660,39.062,4.395,8.789,46.875,0.000,0
1749426394.664,28.320,1.465,9.766,57.129,0.000,0
1749426394.668,30.273,1.953,3.906,48.828,0.000,0
1749426394.672,43.457,-1.953,0.000,46.875,0.000,0
1749426394.676,41.016,0.000,3.906,55.664,0.000,0
1749426394.680,36.621,0.000,8.301,60.547,0.000,0
1749426394.684,30.273,0.488,4.883,56.152,0.000,0
1749426394.688,18.555,3.418,1.465,43.945,0.000,0
1749426394.692,24.414,5.371,6.836,45.898,0.000,0
1749426394.695,26.367,3.418,8.301,61.523,0.000,0
1749426394.699,27.344,1.953,9.277,63.477,0.000,0
1749426394.703,31.738,4.395,10.254,57.129,0.000,0
1749426394.707,42.480,5.371,12.207,61.035,0.000,0
1749426394.711,45.410,8.301,14.160,73.730,0.000,0
1749426394.715,41.504,8.301,9.277,64.453,0.000,0
1749426394.719,30.762,2.441,11.230,50.781,0.000,0
1749426394.723,32.715,-0.977,17.578,56.641,0.000,0
1749426394.727,51.270,0.000,20.020,66.895,0.000,0
1749426394.731,50.293,-1.953,21.484,64.941,0.000,0
1749426394.734,43.945,-5.371,17.090,60.547,0.000,0
1749426394.738,35.645,-8.301,14.160,55.176,0.000,0
1749426394.742,39.551,-10.742,17.578,52.246,0.000,0
1749426394.746,39.551,-8.301,17.090,62.500,0.000,0
1749426394.750,34.180,-3.418,19.043,67.383,0.000,0
1749426394.754,29.785,0.000,19.531,59.570,0.000,0
1749426394.758,31.250,4.395,17.090,58.594,0.000,0
1749426394.762,40.039,0.488,17.090,66.406,0.000,0
1749426394.766,48.340,-1.465,13.184,62.500,0.000,0
1749426394.770,41.016,10.254,3.906,43.945,0.000,0
1749426394.774,28.809,15.137,-4.883,33.203,0.000,0
1749426394.777,41.504,15.137,-2.930,44.434,0.000,0
1749426394.781,38.574,19.531,2.441,50.781,0.000,0
1749426394.785,29.297,22.949,-4.395,44.434,0.000,0
1749426394.789,32.227,18.555,-10.254,40.039,0.000,0
1749426394.793,21.484,18.066,-7.324,34.668,0.000,0
1749426394.797,22.461,20.996,-0.977,37.109,0.000,0
1749426394.801,21.973,17.090,2.441,34.180,0.000,0
1749426394.804,21.973,18.555,-1.465,25.391,0.000,0
1749426394.809,24.414,21.973,-2.930,27.832,0.000,0
1749426394.813,25.879,20.020,-0.488,35.156,0.000,0
1749426394.817,36.621,25.391,6.348,34.668,0.000,0
1749426394.821,39.551,24.414,7.324,36.621,0.000,0
1749426394.825,40.527,17.090,3.418,40.039,0.000,0
1749426394.829,44.922,19.043,3.906,46.387,0.000,0
1749426394.832,40.039,19.043,1.953,49.316,0.000,0
1749426394.836,33.691,11.230,-5.371,35.156,0.000,0
1749426394.840,33.203,0.488,-4.883,30.762,0.000,0
1749426394.844,28.809,6.348,-1.465,45.898,0.000,0
1749426394.848,28.809,11.719,1.465,51.270,0.000,0
1749426394.852,30.273,8.789,2.441,45.898,0.000,0
1749426394.856,22.949,3.906,-6.348,40.039,0.000,0
1749426394.860,24.414,2.441,-8.301,37.598,0.000,0
1749426394.864,25.391,3.906,-3.418,33.203,0.000,0
1749426394.868,20.996,-2.930,-6.836,34.180,0.000,0
1749426394.872,21.973,-4.395,-13.672,34.180,0.000,0
1749426394.876,19.043,-7.324,-13.672,31.250,0.000,0
1749426394.879,26.367,-8.789,-8.789,40.527,0.000,0
1749426394.883,24.902,-6.836,-7.812,41.992,0.000,0
1749426394.887,16.602,-10.742,-12.207,28.809,0.000,0
1749426394.891,22.949,-11.230,-8.301,34.180,0.000,0
1749426394.895,17.578,-10.742,-3.906,38.086,0.000,0
1749426394.899,6.836,-9.277,-8.789,35.156,0.000,0
1749426394.903,5.859,-13.672,-14.160,26.367,0.000,0
1749426394.907,5.371,-13.672,-18.066,20.020,0.000,0
1749426394.911,8.301,-10.254,-17.578,33.203,0.000,0
1749426394.915,7.324,-9.277,-19.043,35.645,0.000,0
1749426394.919,-3.418,-12.695,-20.020,29.785,0.000,0
1749426394.923,-17.578,-15.137,-16.602,25.391,0.000,0
1749426394.926,-20.020,-13.184,-12.695,29.297,0.000,0
1749426394.930,-19.531,-12.695,-13.184,37.598,0.000,0
1749426394.934,-28.809,-19.043,-23.438,29.297,0.000,0
1749426394.938,-32.227,-25.391,-28.320,18.555,0.000,0
1749426394.942,-26.855,-24.414,-26.855,15.625,0.000,0
1749426394.946,-17.090,-18.555,-22.461,22.949,0.000,0
1749426394.950,-14.648,-17.090,-24.414,27.832,0.000,0
1749426394.954,-16.602,-22.949,-31.250,21.484,0.000,0
1749426394.958,-19.043,-22.949,-34.180,17.578,0.000,0
1749426394.962,-20.020,-22.461,-36.133,20.996,0.000,0
1749426394.966,-8.789,-24.414,-31.738,28.320,0.000,0
1749426394.969,-7.812,-24.902,-31.250,24.902,0.000,0
1749426394.973,-8.301,-26.367,-38.086,19.043,0.000,0
1749426394.977,-10.742,-27.344,-40.039,25.391,0.000,0
1749426394.981,-8.301,-25.391,-38.574,29.785,0.000,0
1749426394.985,-6.836,-27.344,-37.109,23.926,0.000,0
1749426394.989,-9.277,-20.996,-38.086,16.113,0.000,0
1749426394.993,-1.465,-12.695,-37.598,16.113,0.000,0
1749426394.997,8.789,-9.766,-34.180,18.066,0.000,0
1749426395.001,4.395,-13.672,-41.992,12.695,0.000,0
1749426395.005,-7.812,-22.461,-47.363,16.113,0.000,0
1749426395.009,3.418,-18.555,-46.387,20.020,0.000,0
1749426395.012,15.625,-13.184,-48.828,11.719,0.000,0
1749426395.016,6.348,-16.113,-46.387,11.230,0.000,0
1749426395.020,-6.348,-20.508,-43.945,7.324,0.000,0
1749426395.024,-8.301,-22.461,-45.410,1.465,0.000,0
1749426395.028,-15.625,-23.926,-45.410,8.789,0.000,0
1749426395.032,-18.066,-21.973,-45.898,8.301,0.000,0
1749426395.036,-9.766,-19.043,-47.852,5.859,0.000,0
1749426395.039,-19.043,-26.367,-52.246,0.000,0.000,0
1749426395.044,-17.578,-28.809,-54.688,-7.324,0.000,0
1749426395.048,-2.930,-22.949,-53.223,-1.953,0.000,0
1749426395.052,-1.465,-27.344,-59.570,-2.441,0.000,0
1749426395.055,-4.395,-28.809,-69.336,-21.484,0.000,0
1749426395.059,-2.441,-26.855,-70.801,-20.996,0.000,0
1749426395.063,7.324,-23.926,-64.453,1.953,0.000,0
1749426395.067,8.301,-20.508,-65.918,4.395,0.000,0
1749426395.071,8.789,-21.973,-70.312,-1.953,0.000,0
1749426395.075,7.324,-20.996,-70.801,-10.742,0.000,0
1749426395.079,3.418,-25.391,-66.895,-11.719,0.000,0
1749426395.082,6.836,-27.344,-64.941,-8.301,0.000,0
1749426395.086,6.348,-30.762,-71.289,-14.160,0.000,0
1749426395.091,5.859,-34.180,-73.730,-21.484,0.000,0
1749426395.095,7.812,-40.039,-70.801,-17.578,0.000,0
1749426395.098,16.113,-38.086,-76.172,-14.648,0.000,0
1749426395.102,24.414,-31.738,-81.055,-14.648,0.000,0
1749426395.106,10.742,-37.598,-70.312,-14.648,0.000,0
1749426395.110,3.418,-41.016,-65.918,-14.160,0.000,0
1749426395.114,4.395,-45.410,-65.430,1.953,0.000,0
1749426395.118,4.395,-48.340,-58.594,8.301,0.000,0
1749426395.122,15.625,-43.457,-62.012,-3.418,0.000,0
1749426395.125,17.090,-45.410,-68.359,-8.789,0.000,0
1749426395.129,12.695,-46.387,-71.289,-10.742,0.000,0
1749426395.133,12.207,-48.828,-75.684,-16.113,0.000,0
1749426395.137,4.883,-49.805,-79.102,-20.020,0.000,0
1749426395.141,2.441,-48.828,-81.543,-23.438,0.000,0
1749426395.145,16.602,-42.969,-77.148,-14.648,0.000,0
1749426395.149,18.066,-39.062,-81.543,-10.254,0.000,0
1749426395.153,15.625,-39.551,-85.938,-9.766,0.000,0
1749426395.157,8.789,-43.945,-79.590,-9.277,0.000,0
1749426395.161,9.277,-43.945,-76.172,-12.207,0.000,0
1749426395.164,10.742,-43.945,-76.172,-13.672,0.000,0
1749426395.168,0.000,-48.340,-75.684,-18.555,0.000,0
1749426395.172,7.812,-45.410,-77.637,-30.762,0.000,0
1749426395.176,8.789,-41.016,-80.078,-24.414,0.000,0
1749426395.180,5.859,-39.062,-78.125,-10.254,0.000,0
1749426395.184,15.625,-37.598,-76.660,-9.277,0.000,0
1749426395.188,-0.488,-39.551,-77.637,-13.184,0.000,0
1749426395.192,-7.324,-41.016,-80.566,-19.531,0.000,0
1749426395.196,-0.488,-43.945,-83.984,-17.090,0.000,0
1749426395.200,-11.719,-47.363,-85.938,-14.648,0.000,0
1749426395.204,-14.160,-40.039,-84.961,-23.438,0.000,0
1749426395.208,-12.695,-36.621,-84.961,-26.367,0.000,0
1749426395.211,-15.137,-41.016,-85.449,-13.672,0.000,0
1749426395.215,-20.508,-42.480,-83.496,-10.254,0.000,0
1749426395.219,-15.137,-45.410,-82.520,-16.113,0.000,0
1749426395.223,-14.648,-46.875,-82.520,-15.137,0.000,0
1749426395.227,-22.949,-42.969,-87.402,-12.695,0.000,0
1749426395.231,-24.414,-44.434,-88.379,-11.230,0.000,0
1749426395.235,-9.277,-45.410,-84.961,-10.254,0.000,0
1749426395.239,-13.184,-42.480,-86.426,-20.020,0.000,0
1749426395.243,-15.625,-44.922,-82.520,-17.578,0.000,0
1749426395.247,-4.395,-37.598,-82.520,-1.465,0.000,0
1749426395.251,-15.137,-35.645,-88.867,-13.184,0.000,0
1749426395.255,-25.879,-48.340,-89.355,-25.391,0.000,0
1749426395.258,-22.949,-55.176,-96.191,-28.809,0.000,0
1749426395.262,-19.531,-55.176,-97.656,-39.062,0.000,0
1749426395.266,-13.672,-55.176,-90.332,-35.156,0.000,0
1749426395.270,-16.113,-55.664,-97.168,-36.133,0.000,0
1749426395.274,-22.461,-53.711,-102.051,-44.434,0.000,0
1749426395.278,-19.531,-51.758,-100.098,-40.039,0.000,0
1749426395.282,-29.785,-53.711,-100.586,-37.109,0.000,0
1749426395.286,-36.133,-50.781,-97.168,-44.922,0.000,0
1749426395.290,-21.484,-48.340,-96.680,-51.270,0.000,0
1749426395.294,-15.137,-47.852,-97.656,-42.480,0.000,0
1749426395.298,-19.531,-47.363,-98.145,-35.156,0.000,0
1749426395.302,-17.578,-45.898,-102.051,-41.016,0.000,0
1749426395.305,-14.648,-46.387,-109.375,-49.805,0.000,0
1749426395.309,-17.090,-49.805,-107.910,-49.316,0.000,0
1749426395.313,-17.090,-40.039,-106.445,-43.945,0.000,0
1749426395.317,-9.277,-32.715,-111.816,-44.922,0.000,0
1749426395.321,-2.441,-46.387,-99.121,-35.645,0.000,0
1749426395.325,-24.414,-62.012,-87.891,-45.898,0.000,0
1749426395.329,-32.227,-65.430,-85.449,-44.434,0.000,0
1749426395.333,-14.648,-63.965,-83.984,-24.414,0.000,0
1749426395.337,-19.043,-71.777,-84.473,-23.926,0.000,0
1749426395.341,-29.785,-80.566,-77.148,-21.973,0.000,0
1749426395.345,-24.414,-83.008,-73.730,-11.719,0.000,0
1749426395.348,-21.973,-90.332,-71.777,0.488,0.000,0
1749426395.352,-15.137,-103.516,-71.289,3.906,0.000,0
1749426395.356,-8.789,-105.469,-68.848,0.000,0.000,0
1749426395.360,-6.836,-106.445,-65.918,6.348,0.000,0
1749426395.364,-10.254,-103.027,-62.012,21.973,0.000,0
1749426395.368,-20.996,-93.262,-62.500,10.742,0.000,0
1749426395.372,-25.879,-93.262,-68.359,-3.418,0.000,0
1749426395.376,-28.320,-91.797,-73.730,-6.348,0.000,0
1749426395.380,-24.414,-81.055,-71.777,-14.648,0.000,0
1749426395.384,-15.137,-78.125,-70.801,-15.137,0.000,0
