timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1749428435.934,-37.598,-35.156,0.977,-44.434,0.000,0
1749428435.938,-32.227,-35.645,-6.836,-45.410,0.000,0
1749428435.942,-24.414,-29.297,-5.371,-44.434,0.000,0
1749428435.946,-28.320,-29.297,0.488,-42.480,0.000,0
1749428435.950,-39.551,-31.250,-0.488,-44.434,0.000,0
1749428435.954,-38.086,-27.344,-7.812,-44.434,0.000,0
1749428435.958,-24.902,-20.020,-7.812,-42.969,0.000,0
1749428435.961,-11.719,-12.207,-2.930,-39.551,0.000,0
1749428435.965,-22.949,-20.020,-11.230,-43.457,0.000,0
1749428435.969,-28.809,-29.297,-17.090,-36.621,0.000,0
1749428435.973,-14.160,-31.738,-10.254,-34.668,0.000,0
1749428435.977,-23.438,-29.297,2.930,-41.016,0.000,0
1749428435.981,-32.227,-19.531,0.000,-36.133,0.000,0
1749428435.985,-23.438,-13.672,-5.371,-41.992,0.000,0
1749428435.989,-8.789,-12.695,-0.488,-39.551,0.000,0
1749428435.993,-26.367,-21.484,5.859,-30.762,0.000,0
1749428435.997,-45.898,-28.809,58.105,-38.574,0.000,0
1749428436.001,-44.434,-21.973,102.051,-41.992,0.000,0
1749428436.004,-35.645,-26.855,110.352,-33.203,0.000,0
1749428436.008,-36.621,-35.156,116.211,-31.250,0.000,0
1749428436.012,-28.320,-33.203,120.117,-31.738,0.000,0
1749428436.016,-20.996,-30.273,117.676,-22.461,0.000,0
1749428436.020,-21.484,-15.137,113.770,-19.531,0.000,0
1749428436.024,-21.484,-10.742,107.422,-28.809,0.000,0
1749428436.028,-26.367,-20.020,88.379,-35.645,0.000,0
1749428436.032,-13.184,-15.625,83.496,-25.391,0.000,0
1749428436.036,-7.324,-10.254,93.750,-13.184,0.000,0
1749428436.040,-21.484,-24.902,80.566,-29.297,0.000,0
1749428436.044,-24.414,-28.809,63.477,-32.227,0.000,0
1749428436.047,-12.695,-23.926,64.453,-18.555,0.000,0
1749428436.051,-7.324,-26.855,66.406,-11.230,0.000,0
1749428436.055,-14.160,-20.996,63.965,-14.160,0.000,0
1749428436.059,-13.672,-8.301,61.035,-23.438,0.000,0
1749428436.063,-6.348,-0.977,64.941,-7.812,0.000,0
1749428436.067,-12.207,-11.230,58.105,-3.418,0.000,0
1749428436.071,-20.508,-27.344,41.504,-19.531,0.000,0
1749428436.075,-13.672,-20.508,38.086,-16.113,0.000,0
1749428436.079,-21.484,-16.113,37.598,-13.672,0.000,0
1749428436.083,-16.602,-19.043,39.062,-11.230,0.000,0
1749428436.087,-8.789,-18.555,37.109,-9.766,0.000,0
1749428436.090,-5.859,-10.742,43.945,-8.301,0.000,0
1749428436.094,-4.883,-20.020,54.688,-5.371,0.000,0
1749428436.098,-18.066,-35.156,52.246,-4.395,0.000,0
1749428436.102,-22.461,-41.992,39.551,-13.672,0.000,0
1749428436.106,-18.555,-39.062,28.809,-26.367,0.000,0
1749428436.110,-17.090,-20.020,37.109,-16.113,0.000,0
1749428436.114,-8.301,-5.859,41.992,-11.230,0.000,0
1749428436.118,9.277,-7.812,50.781,-2.441,0.000,0
1749428436.122,-6.348,-19.531,55.664,-10.742,0.000,0
1749428436.126,-31.250,-31.250,37.598,-33.691,0.000,0
1749428436.129,-29.297,-32.715,34.180,-27.344,0.000,0
1749428436.133,-8.789,-30.762,39.551,-13.184,0.000,0
1749428436.137,5.371,-31.738,33.691,-9.277,0.000,0
1749428436.141,18.066,-18.066,36.621,-5.859,0.000,0
1749428436.145,16.113,-13.184,38.086,-4.883,0.000,0
1749428436.149,-2.441,-30.762,25.879,-13.672,0.000,0
1749428436.153,-3.418,-28.809,24.902,-18.555,0.000,0
1749428436.156,-7.812,-23.926,19.043,-20.508,0.000,0
1749428436.160,-5.859,-23.926,13.184,-18.555,0.000,0
1749428436.165,4.883,-20.508,15.137,-17.578,0.000,0
1749428436.169,15.137,-20.508,19.531,-14.160,0.000,0
1749428436.173,28.320,-11.719,34.180,5.371,0.000,0
1749428436.176,22.949,-16.602,29.297,3.418,0.000,0
1749428436.180,-7.812,-27.832,2.441,-19.043,0.000,0
1749428436.184,-22.949,-20.508,-1.953,-24.414,0.000,0
1749428436.188,-26.367,-15.625,7.812,-21.484,0.000,0
1749428436.192,-35.156,-26.855,5.371,-20.508,0.000,0
1749428436.196,-28.320,-34.668,3.418,-22.949,0.000,0
1749428436.200,-16.113,-32.227,11.719,-11.230,0.000,0
1749428436.203,-6.348,-20.020,18.066,12.207,0.000,0
1749428436.207,3.418,-12.207,16.113,6.836,0.000,0
1749428436.212,-4.883,-27.832,0.000,-19.531,0.000,0
1749428436.216,2.441,-23.926,1.465,-6.836,0.000,0
1749428436.220,6.348,-11.719,4.395,2.441,0.000,0
1749428436.223,-11.719,-5.859,7.324,-6.348,0.000,0
1749428436.227,-19.531,-10.742,9.277,-1.953,0.000,0
1749428436.231,-21.973,-27.344,-9.277,-1.953,0.000,0
1749428436.235,-25.879,-32.227,-20.996,-2.930,0.000,0
1749428436.239,-21.484,-32.227,-17.090,-6.836,0.000,0
1749428436.243,-14.648,-31.250,-12.207,-13.672,0.000,0
1749428436.247,-7.324,-22.949,-6.836,-1.953,0.000,0
1749428436.250,0.000,-16.602,-4.883,9.277,0.000,0
1749428436.254,4.395,-11.230,0.488,20.020,0.000,0
1749428436.259,-7.324,-16.602,-9.277,12.695,0.000,0
1749428436.263,-19.043,-23.926,-18.066,-12.695,0.000,0
1749428436.267,-13.184,-20.020,-8.789,-16.602,0.000,0
1749428436.270,-6.836,-22.461,-12.695,-8.301,0.000,0
1749428436.274,10.742,-18.066,-0.977,5.371,0.000,0
1749428436.278,18.555,-11.230,20.020,20.020,0.000,0
1749428436.282,-10.742,-22.949,0.977,3.906,0.000,0
