timestamps,PPG1,PPG2,PPG3,Marker0
1749427103.713,450956.000,286636.000,2491.000,0
1749427103.728,450934.000,286615.000,2491.000,0
1749427103.744,450891.000,286617.000,2441.000,0
1749427103.760,450897.000,286668.000,2489.000,0
1749427103.775,450996.000,286677.000,2523.000,0
1749427103.791,451128.000,286713.000,2429.000,0
1749427103.806,451206.000,286770.000,2477.000,0
1749427103.822,451162.000,286740.000,2437.000,0
1749427103.838,451375.000,286811.000,2492.000,0
1749427103.853,451325.000,286818.000,2471.000,0
1749427103.869,451317.000,286805.000,2535.000,0
1749427103.885,451307.000,286835.000,2490.000,0
1749427103.900,451191.000,286839.000,2488.000,0
1749427103.916,451158.000,286848.000,2493.000,0
1749427103.931,451210.000,286875.000,2489.000,0
1749427103.947,451232.000,286877.000,2554.000,0
1749427103.963,451256.000,286896.000,2473.000,0
1749427103.978,451191.000,286890.000,2482.000,0
1749427103.994,451222.000,286922.000,2465.000,0
1749427104.010,451273.000,286910.000,2484.000,0
1749427104.025,451308.000,286972.000,2404.000,0
1749427104.041,451430.000,286978.000,2488.000,0
1749427104.056,451385.000,287059.000,2489.000,0
1749427104.072,451360.000,287062.000,2436.000,0
1749427104.088,451270.000,286943.000,2492.000,0
1749427104.103,451211.000,286861.000,2463.000,0
1749427104.119,451163.000,286767.000,2514.000,0
1749427104.135,450951.000,286676.000,2491.000,0
1749427104.150,450861.000,286589.000,2515.000,0
1749427104.166,450726.000,286525.000,2471.000,0
1749427104.181,450729.000,286485.000,2490.000,0
1749427104.197,450673.000,286399.000,2477.000,0
1749427104.213,450615.000,286424.000,2491.000,0
1749427104.228,450520.000,286448.000,2431.000,0
1749427104.244,450391.000,286378.000,2489.000,0
1749427104.260,450367.000,286433.000,2486.000,0
1749427104.275,450373.000,286395.000,2405.000,0
1749427104.291,450410.000,286438.000,2459.000,0
1749427104.306,450447.000,286426.000,2470.000,0
1749427104.322,450511.000,286431.000,2488.000,0
1749427104.338,450582.000,286481.000,2491.000,0
1749427104.353,450660.000,286463.000,2521.000,0
1749427104.369,450608.000,286476.000,2489.000,0
1749427104.385,450504.000,286450.000,2465.000,0
1749427104.400,450511.000,286460.000,2541.000,0
1749427104.416,450540.000,286430.000,2529.000,0
1749427104.431,450566.000,286435.000,2549.000,0
1749427104.447,450447.000,286420.000,2490.000,0
1749427104.463,450506.000,286415.000,2490.000,0
1749427104.478,450595.000,286417.000,2436.000,0
1749427104.494,450548.000,286536.000,2492.000,0
1749427104.510,450710.000,286551.000,2455.000,0
1749427104.525,450771.000,286515.000,2476.000,0
1749427104.541,450788.000,286579.000,2492.000,0
1749427104.556,450763.000,286573.000,2412.000,0
1749427104.572,450873.000,286545.000,2453.000,0
1749427104.588,450829.000,286640.000,2498.000,0
1749427104.603,450905.000,286676.000,2509.000,0
1749427104.619,451016.000,286645.000,2491.000,0
1749427104.635,450982.000,286725.000,2529.000,0
1749427104.650,450940.000,286748.000,2492.000,0
1749427104.666,450978.000,286690.000,2470.000,0
1749427104.681,451008.000,286732.000,2561.000,0
1749427104.697,451039.000,286753.000,2492.000,0
1749427104.713,451112.000,286781.000,2473.000,0
1749427104.728,451197.000,286827.000,2491.000,0
1749427104.744,451260.000,286826.000,2500.000,0
1749427104.760,451279.000,286874.000,2381.000,0
1749427104.775,451357.000,286921.000,2474.000,0
1749427104.791,451274.000,286896.000,2492.000,0
1749427104.806,451354.000,286907.000,2496.000,0
1749427104.822,451494.000,286965.000,2493.000,0
